schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_score_home,pr_score_away,in_div,in_conf
12/5/21,2021,13,LVR,,,WAS,,,FALSE,FALSE
12/5/21,2021,13,PIT,,,BAL,,,TRUE,TRUE
12/5/21,2021,13,LAR,,,JAX,,,FALSE,FALSE
12/5/21,2021,13,SEA,,,SF,,,TRUE,TRUE
12/6/21,2021,13,BUF,,,NE,,,TRUE,TRUE
12/9/21,2021,14,MIN,,,PIT,,,FALSE,FALSE
12/12/21,2021,14,CAR,,,ATL,,,TRUE,TRUE
12/12/21,2021,14,CIN,,,SF,,,FALSE,FALSE
12/12/21,2021,14,CLE,,,BAL,,,TRUE,TRUE
12/12/21,2021,14,HOU,,,SEA,,,FALSE,FALSE
12/12/21,2021,14,KC,,,LVR,,,TRUE,TRUE
12/12/21,2021,14,NYJ,,,NO,,,FALSE,FALSE
12/12/21,2021,14,TEN,,,JAX,,,TRUE,TRUE
12/12/21,2021,14,WAS,,,DAL,,,TRUE,TRUE
12/12/21,2021,14,DEN,,,DET,,,FALSE,FALSE
12/12/21,2021,14,LAC,,,NYG,,,FALSE,FALSE
12/12/21,2021,14,TB,,,BUF,,,FALSE,FALSE
12/12/21,2021,14,GB,,,CHI,,,TRUE,TRUE
12/13/21,2021,14,ARI,,,LAR,,,TRUE,TRUE
12/16/21,2021,15,LAC,,,KC,,,TRUE,TRUE
12/19/21,2021,15,BUF,,,CAR,,,FALSE,FALSE
12/19/21,2021,15,CLE,,,LVR,,,FALSE,TRUE
12/19/21,2021,15,IND,,,NE,,,FALSE,TRUE
12/19/21,2021,15,DET,,,ARI,,,FALSE,TRUE
12/19/21,2021,15,JAX,,,HOU,,,TRUE,TRUE
12/19/21,2021,15,MIA,,,NYJ,,,TRUE,TRUE
12/19/21,2021,15,NYG,,,DAL,,,TRUE,TRUE
12/19/21,2021,15,PHI,,,WAS,,,TRUE,TRUE
12/19/21,2021,15,PIT,,,TEN,,,FALSE,TRUE
12/19/21,2021,15,BAL,,,GB,,,FALSE,FALSE
12/19/21,2021,15,DEN,,,CIN,,,FALSE,TRUE
12/19/21,2021,15,SF,,,ATL,,,FALSE,TRUE
