schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,pr_spread,pr_total,pr_hfa,in_div,in_conf
12/27/2021,2021,16,NO,,,MIA,,,,False,False
1/2/2021,2021,17,BUF,,,ATL,,,,False,False
1/2/2021,2021,17,CHI,,,NYG,,,,False,True
1/2/2021,2021,17,CIN,,,KC,,,,False,True
1/2/2021,2021,17,IND,,,LVR,,,,False,True
1/2/2021,2021,17,DAL,,,ARI,,,,False,True
1/2/2021,2021,17,NO,,,CAR,,,,True,True
1/2/2021,2021,17,NE,,,JAX,,,,False,True
1/2/2021,2021,17,NYJ,,,TB,,,,False,False
1/2/2021,2021,17,TEN,,,MIA,,,,False,True
1/2/2021,2021,17,WAS,,,PHI,,,,True,True
1/2/2021,2021,17,LAC,,,DEN,,,,True,True
1/2/2021,2021,17,SF,,,HOU,,,,False,False
1/2/2021,2021,17,BAL,,,LAR,,,,False,False
1/2/2021,2021,17,SEA,,,DET,,,,False,True
1/2/2021,2021,17,GB,,,MIN,,,,True,True
1/3/2021,2021,17,PIT,,,CLE,,,,True,True
1/9/2021,2021,18,ATL,,,NO,,,,True,True
1/9/2021,2021,18,BUF,,,NYJ,,,,True,True
1/9/2021,2021,18,CLE,,,CIN,,,,True,True
1/9/2021,2021,18,DET,,,GB,,,,True,True
1/9/2021,2021,18,HOU,,,TEN,,,,True,True
1/9/2021,2021,18,JAX,,,IND,,,,True,True
1/9/2021,2021,18,MIA,,,NE,,,,True,True
1/9/2021,2021,18,MIN,,,CHI,,,,True,True
1/9/2021,2021,18,NYG,,,WAS,,,,True,True
1/9/2021,2021,18,PHI,,,DAL,,,,True,True
1/9/2021,2021,18,BAL,,,PIT,,,,True,True
1/9/2021,2021,18,TB,,,CAR,,,,True,True
1/9/2021,2021,18,ARI,,,SEA,,,,True,True
1/9/2021,2021,18,DEN,,,KC,,,,True,True
1/9/2021,2021,18,LVR,,,LAC,,,,True,True
1/9/2021,2021,18,LAR,,,SF,,,,True,True
